Molecule	Protein	UniProt	Gene	C1	C2	C3	C4	C5	C8	C9	C11	C14	C15	C16	C17	C18	C19	C20	C21	C24	C25	C26	C27	P1	P2	P4	P6	P9	P11	P13	P17	P18	P19	P20	P21	P24	P25	P27	P28	P29	P30	P31	P32
13131-5	HXK1	P19367	HK1	4320.7	4079.2	8583.2	4099.7	5940.2	3283.6	4323.1	5135.9	3761.4	3078.5	5519.3	1891.1	3288.1	3880.1	2356.4	9204.7	2370.7	2076	3713.6	1991.5	1969	2466.3	7016	2410.6	2629.2	3375.6	3665.4	2913.8	3595.4	3392.4	2297.7	1979.8	2955.5	4384.7	4145	4344.5	4083.1	3693	4263.4	4217.7
13132-14	SEM5A	Q13591	SEMA5A	6288.8	6147.6	5822.5	5570.4	4953.8	10198	4805.3	5296.6	8368	3805.9	5338.1	4227.8	4129.8	4849.4	3978.2	5537.7	3542.5	3692.3	5162.1	3490.5	3656.2	3229.4	4485.8	4873.4	3919.7	3952.5	5309.4	6588.4	4796.5	7215.9	8819.1	4888.7	5558.7	4800.8	3248.5	5893	6196.4	4491.5	5803.6	5826.4
13133-73	LTBP4	Q8N2S1	LTBP4	15638	13858	22475.6	12259.3	15086.6	13609.3	10760.1	18287.5	14196.5	14948.5	14045.6	13701.1	13515.8	15142.2	14005.1	16585.1	14656.3	11018.3	11992.1	13920.9	14389.8	13384.7	22195.6	13212.9	13716.2	16586.5	15881.3	14280.8	13845.2	17539.6	13101.1	14551.7	18605.7	13748.7	16632.5	18244.2	16744.8	16055.8	19795.3	14738.4
13228-75	MDM2	Q00987	MDM2	1149.5	876.3	1621.4	999	999.6	1010.8	907.6	1234.4	830	680.4	1675.8	698.3	705.3	828.9	734.2	2438.5	680.9	689.1	1062.6	484.7	743.7	988.4	805.8	955	901.3	969.3	1472.8	896.2	825.9	854.7	3917.9	743	713.2	1044.8	633.6	986.3	748.4	670.2	884.5	837.7
13229-20	MDM4	O15151	MDM4	1125.2	1054.6	1982.8	1141.5	1358.4	898.7	772.8	1058.3	823.6	746.6	1349.4	586.1	847.2	906.7	599.9	2249.5	593.3	594.4	946.4	574.8	755	864.6	1232.5	838.1	777.3	861.4	1087.2	830.6	802.4	853.2	871.5	725.5	698	1086.1	870.3	1025.8	880.6	791.4	943.6	1958.2
13230-174	"IgG2, Kappa"	P01859	IGHG2	173.1	180.5	356.9	167.1	182.3	175	195.9	201.5	169.2	154.6	259.1	136.3	169.8	174.1	149.1	290.8	153.9	140.3	163.9	122.9	169.8	171.7	189.3	166.3	164	201.6	219.1	164.7	141	171.4	355.3	716.4	160.7	226	130.1	201.8	164.9	177.7	187	227.2
13231-90	"IgG4, Kappa"	P01861	IGHG4	938.2	954.3	1059.1	1119.3	983.9	1012.9	700.7	741	958.4	1037.9	1351.2	595	833.9	1191.7	814.9	2514.5	708.5	763.3	821	746.6	809.1	1788.5	868.8	725	649.1	1600.9	1338.9	1547.8	2099.9	717	1029.1	770.6	3916.1	843.5	1632.4	1563.1	708.9	754.6	1213.5	990.1
13236-25	WNT3A	P56704	WNT3A	6499.7	3713.1	6348.2	5446.8	3858.2	5013.5	7602.3	4924.2	6240	4149.3	8103	2989.3	4420.9	6156.6	3783.1	17088.9	3599.7	5248	4648.7	2889.1	4069.1	5496	4727	4305	4170.4	5943.5	8875.1	5400.4	4475.1	4523.7	4527.2	3899.5	4504.1	5158.2	2601.4	5531.8	5348.8	5181.1	4242.1	6710.2
13240-170	SHAN1	Q9Y566	SHANK1	106.5	119.9	262.2	97.9	176.5	105.5	136.3	149	110	103.5	148.2	1947.5	110.1	103.4	98.6	171.6	90.9	95.1	225.7	76.4	105.6	103.5	117.9	90.8	109.1	122	159.1	96.2	83.6	139.3	86.1	168.1	108.4	1630.3	90.2	152	135.5	96.2	134.8	110
13242-134	SHAN3	Q9BYB0	SHANK3	692	745.3	1190.4	1264.2	981	717.4	563.4	919.4	708.5	697.9	1336.8	601.8	593.5	780.7	658.4	3202.1	644.9	1010.6	1068.7	436.8	971.6	731.4	518.9	606.3	607.8	1366	941.8	1262.6	546.8	808.2	965.3	676.5	871.9	1007	407.8	998	494.9	658.4	932.4	929.5
13268-45	WNT5A	P41221	WNT5A	3196.2	1969.5	1506	2451.9	1514.7	2158.2	2934	1636.7	1307	2485.6	2613.5	1490	2130.6	3450	1498.9	2062.9	3444.9	2157.4	2688.1	2488.3	2646.9	2355	1434.7	2494.1	1791.7	2424.1	2296.9	2666.6	3011.7	2221.1	1683.5	1502.8	1439.4	4342.5	1394.2	3720.1	2131.2	2551.1	3754	2313.1
13374-4	DB113	Q30KQ7	DEFB113	5671.5	8248.6	7934	5072	5251.4	4966.6	5982.6	10258.7	5777.4	27041.5	12732.1	9845.1	5694.4	5202.7	5766.3	5741.9	5891.8	5610.4	5606	4562	4433.5	4943.1	4946.1	3863.2	3563.5	5443.8	10620.8	10383.5	3753.8	4851	12246.2	5416.8	5286.7	5519.8	7277.5	6526	7339.7	4649.9	11374.1	9207.1
13375-48	SNG3	O43761	SYNGR3	387.1	378.2	719	384	375.2	413	408.1	485.2	714.2	488.6	645.4	277.7	740.9	364.6	309.6	942.8	5543.9	289.6	415.9	268.9	318.4	349.9	416.4	314	368	405.9	506.4	366.5	272.3	350.5	353.4	341.9	314.4	516.3	282.9	420.5	411.8	354.7	489.7	377.4
13377-3	C56D1	Q8N8Q1	CYB561D1	2829.6	2900.2	5167.8	2984.1	3930.9	2325.4	2617.1	3494.9	2369	2354.1	3094.7	1589.9	2095.3	3103.3	1656.3	4702.7	2056.8	8168.1	2582.2	3827.5	2258	1977.8	4394.2	2079.4	2010.1	2621.9	2495.5	2232.1	2596.4	2532.9	2402.4	1883.6	2292.6	3149.8	3031.9	3377.9	2729.1	2798.3	3495.7	3464.2
13378-80	YD286	A6NC05	C5orf63	1647.9	1556.5	3139.3	1561.3	2061.7	1436.3	2490.1	2092.7	1521	1263.6	2433.1	899.9	1171.3	1592.9	1012.1	4061	1137.7	944.4	1494.2	909.3	928.5	1130.5	2371.1	1208.4	1245.4	1537.9	1699	1285.8	1327.6	1373.2	1257	1216.3	1278.4	1823.8	1393.4	1710.6	1750.5	1423.8	1637.6	1627.1
13381-49	B4GT1	P15291	B4GALT1	22910.2	21588.5	25463.2	19583.3	25956.7	21456.3	19639.2	24020.7	22709.7	23881.9	18966.3	21334	18253.3	21932.5	21884.2	20103.1	23558.3	16644.2	23679.3	19900.3	24538.7	23595.7	28036.7	28780.5	22061.3	29288.5	25623	24139.5	22912.4	15698.2	16770.3	20944.5	35819.2	28267.4	27068.8	30277.2	30295.9	30644.5	25329.9	21433.2
13384-110	FUMH	P07954	FH	3484	1382.1	1652	1862.1	1511.7	1564.1	1347.1	2403.7	2514.3	2567.1	2723.6	1609.1	2404.3	1910	916.3	1781.2	2850.9	3335.6	9778.1	1841.7	1666.3	1697.4	1031.4	923.4	1812.9	2361.6	1384.5	4864	1053.7	1253	1544.1	1184.7	1611.1	1584.5	883	3286.8	805.3	1303.1	2992.2	1190
13386-248	RNF34	Q969K3	RNF34	1004.9	1032.1	2457	984.7	1813.2	1040.8	915.6	1384.7	897.2	764	1576	648.6	790.8	1084.6	652.2	2064.1	691.1	723.4	1032.5	614.1	723.7	757.6	1333.4	721.7	844.8	1019	1365	873.9	892.4	826.4	668.2	806.5	760.8	1404.8	842.5	1333.6	863.2	869.3	1209.4	1072
13387-55	EHF	Q9NZC4	EHF	364.9	562.5	708.8	378.9	1300.1	405.4	350.4	464.2	383.9	319	546.6	355.1	324.9	351.1	276.6	722	316.6	406.9	381	250.8	315.7	350.2	414.7	345.6	501.8	368.2	487.9	356.6	317.8	986.8	316.3	382.2	626.1	507.6	291.2	425.3	386.4	444.5	651	400.7
13388-57	NEC1	P29120	PCSK1	1769.3	2320.7	3807	1847.8	2392.8	1907.2	2066.3	1746.4	1862.4	1687.1	2176.1	1881.3	1523.4	1687.5	1360.5	2997.5	1637.8	1853.3	2341.2	1364.1	1375.2	2069.4	2215.7	1553.2	1897	2466.2	2301.7	1464.6	2603.3	1960.4	1730.9	1763	1842.8	3162.7	1499.5	2230.7	2241.4	1257.8	2030.9	2039.5
13389-8	Fc_MOUSE	Q99LC4		3307.6	2243.9	3752.3	2977.7	2725.5	2479.3	2727	2632	2744.8	2446.3	4393.6	2116.5	2197.9	2899	2387.7	7167.8	1822.3	2076.7	2505.5	1948.6	2195.2	2471	2674	2115.6	2351.8	2751.5	3476.1	2601.7	2493.3	2237.3	2486.5	1849.6	2512.2	2580.2	2141.8	2652	2372.2	2474.3	2608.5	3092.1
13392-13	AT1B1	P05026	ATP1B1	3491.1	2553.2	3708.1	2645.5	4328.1	3215.5	2338.4	3270	3854.7	2546.1	5229.1	2125.2	3069.9	2523.5	2464.6	6772.2	3928	3235.1	2289.1	2813.8	3174.9	3904.3	3933.3	3115	3183	4172.7	3731.8	3137.6	2940.3	5015.5	2735	2454.9	2302.8	1998.4	1751.2	4331.7	3139.4	2750.7	2303	3188.8
13393-46	DERL1	Q9BUN8	DERL1	1155.2	1300.7	2054.7	1428.3	1147.4	1292.5	1142.9	1386.2	1253.8	1924.6	2751.7	1363.4	1469	1344.5	1076.2	2946.4	1834.7	1561.3	1928.8	15481.8	949.4	1246.4	1256.5	900.6	1069	1727	2112.8	3012.5	1340.5	1556.2	1294.3	1062.7	1666.3	1327	1008.7	1517.9	1224	1499.1	1598.3	1293.8
13397-88	HBD-2	O15263	DEFB4A	4341.1	3186.9	14720.7	73763.9	6167.6	33876.3	14466.5	8840.6	2313.7	10646.8	13311.2	5884.1	20130.9	4096.1	5717.3	4912.1	7078.5	8753.2	5022.1	11012.8	2461.5	2354.5	5743.5	7355.5	3846.9	14394.4	15082.5	7020.9	6028.5	26134.9	6159.9	3182	5276.4	4930.4	2825	6877	4263.8	2135.5	8838.2	12722.6
13399-33	RELL1	Q8IUW5	RELL1	588.2	381	722.4	333	432.9	318.5	309	465.2	364.4	323.1	423.5	263.9	382.3	377.5	280	506.9	303.7	339.3	443.3	291.5	258	352.3	408.8	1001.7	330.6	346	432.3	341	281.2	331	291.8	632.2	322.4	557.9	284.8	386.3	355.6	361	431.4	398.3
13403-5	ETV5	P41161	ETV5	216.1	254.6	464.1	402.3	285	234.1	204.8	280.5	246.4	205.9	335.8	193.7	214.9	223.7	172	401.1	453.5	174.2	227.7	166.5	174.7	219.6	244.8	217.2	211.4	252	372.9	211	190.3	207.7	205.5	242.1	660.1	301.6	173.6	314.4	367.9	209	279.7	220.1
13405-61	ISK2	P20155	SPINK2	609.4	673.5	907.9	600	518.5	547.9	666.4	621	407.7	504.7	1036.7	394.7	734.2	461.8	351.7	842.5	386.7	541.5	533	445.8	423.5	543.4	713.6	520.5	2232.8	715.6	667.6	463.5	576.3	511.6	466.9	1000.2	617.2	627.1	410.7	610.5	494.8	485.8	691.9	461.3
13409-9	Fc_MOUSE	Q99LC4		1520.7	1884.4	8170.2	999.5	1803.9	2195.9	926.9	3686.5	1600.1	888.7	3811.7	1403.4	1035.1	1386.4	924.4	4433.9	870	815	1829.4	659.6	1199.1	1135.8	1744.3	746.9	1995.3	1810.8	3870.6	2110.2	953.1	998.4	836.5	700.9	1117.3	3644.3	874.8	3085	1132.4	898.4	2675.1	1631.6
13411-21	RNF41	Q9H4P4	RNF41	763.8	761.8	1187.5	862.9	761.7	1033	1682	900.9	766.4	825.8	2343.3	648.6	1198.4	765.3	638.2	1408.4	688.8	710.3	874.8	577.8	644.2	643.3	846.7	663	688.3	860	1150.3	1009	622.6	738.1	768.4	2384	673.2	883.7	571.9	980.7	713.2	752.5	817.3	834.6
13412-5	WFDC6	Q9BQY6	WFDC6	257.3	255.5	462.2	235.5	452.8	228.1	232.5	305.5	220.7	221	354	174.6	227	260.6	189.1	710.1	181.2	405.9	261.9	172.1	172.9	248.3	309.5	221.6	214.2	299.7	313.7	267.1	202.2	201.7	331.5	206.4	187.8	324.9	201.8	298.4	262.7	221.9	364.6	326.8
13416-8	T132D	Q14C87	TMEM132D	3905.7	4656	4520.6	4245.3	3637.8	3267.6	2969.4	3456.9	3418	6002.1	3773.4	4298.2	4222.9	4194.5	4360.6	4979.9	4207.6	6376.2	4946	5193.4	3177.8	3699.7	4803.9	3445.7	4700.4	3500.6	3863.8	4587	3414.5	8115.9	4800.2	5516.1	5786.4	2999.5	3661.3	4683.7	4254.1	3662.2	4861.4	3481.6
13421-17	KISHB	Q9NRX6	TMEM167B	452.5	467.9	917.3	408.2	591.2	448.8	369.6	566.2	381.7	340.9	656.1	358.2	355.1	418.8	318.9	861.3	316.1	314.4	478.5	276.8	345.9	384.7	542.4	341	412.8	450.9	597.6	398.4	344.9	394	339.9	342.6	361.8	552.2	313.3	525.4	375.6	351.5	492.5	425.7
13422-66	ENOX2	Q16206	ENOX2	1843.7	1724.8	3274.8	1563.4	2048.2	1543.1	1510.8	2125.9	1496.4	1255.9	2493.1	1073.2	1312.9	1676	1237.7	3887	1141.4	2369.4	2046.9	951.7	1088.2	1240.6	2141.9	1177.4	1401.1	1470.9	1966.7	1367.1	1370.5	1942.8	1264.2	1183.7	1291.1	2020	1421.5	1860.3	1607.8	1582	1722.9	1727.3
13423-94	CJ058	Q9BRX8	FAM213A	1452.4	5510.2	2776.2	3005.9	1893.7	5071.3	1666.8	1797.6	1329.6	7387	5212.9	891.4	1056.2	1684.6	1102.7	3446	1036.3	2999.2	1678.4	846.1	924.9	1161.3	1875.4	1077.4	1244.1	1421.3	1616.4	1688.1	1288.7	1223.7	1168.8	1081	1085.8	1728.5	1154.9	6314.8	1440.9	1123.1	1592.9	1580
13424-51	Fc_MOUSE	Q99LC4		1516.2	1357.8	2600.3	1210.2	2291.4	2027.4	997.5	2836.9	1206.8	1100.3	1785.9	988.5	1247	1329.8	967.3	2407.8	1144.8	1577.5	1621.2	1158	1048.3	1650.6	4793.5	1056.6	1149.6	1733.3	2261.5	1431.1	1077.5	1422.5	1049	2270	1270.2	22092.8	1000.5	1332.1	1297.5	1959.5	1434.8	1239.2
13427-66	MA1C1	Q9NR34	MAN1C1	867.1	1013	864.6	755.5	807.2	816.8	888.1	908.8	687.1	952	663	656.9	863.5	906.8	708.7	903	714	750.6	813.6	739.2	867.3	1013	975.2	829.7	679.1	884	693.6	767.5	761.4	970.8	715.7	784	750.5	867.9	748.4	996.3	791.8	1067	897.1	809.7
13429-3	WF10A	Q9H1F0	WFDC10A	1040.6	1042.9	2002.5	965.2	1670.8	764.9	904.5	1239.4	885.9	1122.2	1239.9	615	883.5	1112.6	618	1777.4	873.7	625.8	890.7	594.4	666	765.8	1459.4	784.1	742	962.3	1194.5	790.5	878.9	785.9	689.4	568.6	824.1	1181.2	902.4	1211.4	923.8	993.5	1136.7	1026.6
13430-50	UT1	Q13336	SLC14A1	2491.8	2471.3	5060	2466.5	2747.5	2618.2	3176.7	3053.1	2262.5	1926	4790.4	1593.6	1948.6	2397.9	1716	7568.4	1975.6	1719.3	2651.9	1395.1	1680	1841.7	3123.6	1770	2193.3	2568.1	3308.2	3162.7	1961.9	2231.6	1881.1	1788.9	1935.3	2878.3	1728.9	3026.8	2409.8	2014.7	2635.3	2479.6
13431-74	F159A	Q6UWV7	FAM159A	237.2	250	340.3	276.9	343.5	241	244.4	239.7	227.5	221.6	272.8	194.6	208.1	225.5	231.5	424.8	187.5	192.3	239	163.7	232.5	282.2	288.9	275.4	221.7	261.6	306.3	249	275.2	297.7	202.1	258.3	561.7	310.1	439.3	276.7	267.6	227.3	366.2	256.1
13434-172	PARVA	Q9NVD7	PARVA	1431.6	1519.3	3097.8	1496.6	1819.5	1486.6	1422.9	1869.2	1434.9	1910.9	4272.6	1656.8	1784.2	1918.1	1096.8	1960.1	1664.4	1687.4	1858.8	1476.8	1698.7	1500	1605.8	1654.2	1384.7	2100.8	2007.7	2736	1583.6	1810	1742.6	1605.9	1783.1	1870.2	1341.4	2014.8	1778.3	1801.2	2221	2445.3
13435-31	IL-20 Rb	Q6UXL0	IL20RB	1705.5	14802.5	1139.6	471.4	892.7	450.3	902.1	525.1	569.5	580	602.6	983	1745.3	643.2	497.5	724.6	561.7	1308.1	519.8	727.8	295.6	575.9	782.2	435.2	465.6	475.3	833.5	710.4	472.6	1092	977.9	421.6	527.6	520.3	446.3	938	1093.8	622.2	1215.8	10288.8
13436-54	MAZ	P56270	MAZ	651.1	619.9	919.6	585.1	542.5	690.1	525.2	583.6	501.9	484.3	774.3	475	472.7	511.8	497	866.4	598.5	434.4	561.8	406.8	534.1	556.2	572.6	487.2	514.4	697.4	866.9	3348.1	531.3	535.3	524.5	475.2	508.7	686.3	497.3	668.9	480.9	1127.5	571.3	627.3
13438-115	CHRD	Q9H2X0	CHRD	2366.1	3068.7	4123.5	3463.8	2484	2008	2124.3	1748.3	1833.7	1993.3	1955.3	5932.9	2016	2674.3	2997.1	1923.4	2925.1	2539.6	4424.2	1892.8	2820.6	2702.8	2014.1	2272.1	4301.7	2096.1	2034.6	3453.4	1395.7	2280.2	1572.7	1655.2	1877.1	13679.8	2046.4	1906.3	3530.4	3748.4	1933.5	1828.9
13439-6	IQCF3	P0C7M6	IQCF3	1712	1708	3386.6	1623.1	1905.7	1660	2073	2160.3	1734.8	1417.1	3100.4	1004.8	1182.7	1696.5	1233	4975.6	1202.8	1179.5	1680.3	878.3	1243.4	1216.6	2101.9	1222.9	1435.9	1822.1	2056.9	3838	1213.8	1406.6	1203.9	1122.1	1175	1838	1245.6	1833.8	1852.9	1411.6	1645.7	1668.2
13441-30	DIXC1	Q155Q3	DIXDC1	193	174.2	239.6	193.9	227.9	216.9	171.6	165.4	164	169.7	236.1	125.1	203.3	218.8	146.4	294.6	144.5	148.7	174.1	134.7	152.4	158.8	200.9	166.7	155.9	188.7	184.9	167.3	158.1	153.7	157.7	162.8	178.2	199.3	148.1	191.3	160.4	163.6	173.6	181.4
13447-42	SPRN	Q5BIV9	SPRN	3433.2	4603.5	7848.6	4000.4	1820.4	4427.1	1528.6	2730.9	2765.4	3022.1	16662.6	2158.3	2111.5	2549.7	4473	26962	1752.9	1840	3991.8	1678.4	1989.4	1598.9	1757.9	2442.8	2524.8	2922.2	11231.1	3263.1	1713	3765.4	5009.9	3257.2	2030.8	1695.6	9490.6	2262.8	3592.9	1766	2069.1	3463.4
13449-25	SF3B4	Q15427	SF3B4	707	361.4	586.2	323.2	356.7	334.8	293	357.1	302.9	321.2	433.6	280.4	299.7	306.8	237.7	506.7	290.2	270	358	239.4	275	307	324.9	280.1	287.5	336.5	410.6	504.7	252.1	306.3	319.6	314	281.9	424.2	271.6	400	279.5	294.2	371.3	312.9
13450-49	UBP8	P40818	USP8	3687.9	3224.8	5534.2	4657.3	2514.6	3153.7	1693.4	3197.8	4279.7	5100	11791.1	3894.8	3206.2	3332.2	3006.7	12869.7	4766.9	4276	6836.9	2934.1	2966.9	1860.4	1654.6	1454.6	2159.1	3992.5	6256.1	8605.2	2668.7	3146.9	4034.8	1873.8	3489.3	3370.3	2246.8	4141.7	2141.9	3241.2	5220.5	2499.6
13451-2	FNDC4	Q9H6D8	FNDC4	765	764	1556.1	1160.4	819.3	713.6	975.7	1016.4	736.6	692.8	1326	437.5	560.1	864.7	545.8	2358.3	605.5	858.2	766.1	465.8	497.5	529.9	1039.4	539.2	594.9	753.3	916.6	718.7	517.3	656.8	613.4	626.7	729.1	899.4	588.3	901.7	876.1	15322.8	842.7	785
13452-113	SIM13	P0DJ93	SMIM13	1002.6	1049.4	2023.8	971.6	1460	985.1	881.2	1170.2	856	790.7	1440.1	670.4	762	1119.7	690.2	1929.9	706.7	736.2	964.2	614.4	769.2	829.1	1195.7	1053.7	915.7	1122.6	1248.6	911.8	812.4	882.9	774.6	841.4	778.5	1286.1	813.7	1239.9	837.5	1009.3	1054.4	990.2
13453-2	RM33	O75394	MRPL33	993.4	1136.1	2188.7	1086.4	1927.9	836.9	920	1412.7	1006.6	946.5	1115.6	698.2	993.4	1144.2	759.9	2057.4	675.2	630.4	1112.4	667.8	626.7	830	1836.3	670.5	713.2	991	1201.1	923.2	949	1045.6	1193.3	725.2	966.6	1329.7	1005.2	1285.4	1183	1009.1	1169.7	1203.2
13455-10	Fc_MOUSE	Q99LC4		1328.6	1156.1	3028.5	1586.1	1825.7	1455	1099.5	4381.6	1189	914.3	1821.5	902.6	938.4	1472.3	760.9	2403.3	812.9	963	1330.1	808.4	1017.5	1605.4	3067.1	1736.7	1055.1	1069.7	4637.8	1173.9	926.8	2690.6	1034.8	941.8	1124.8	2356.3	874.8	1544.6	1421.5	1699.9	1270.1	1097.4
13457-33	ELF5	Q9UKW6	ELF5	237	256.2	512.7	264.1	344	256.8	203	318	227.3	202.6	350.6	190.9	224.6	230.2	180.3	404	206.5	204.1	239.1	186	225.9	236.2	467.9	216.5	238.9	260.5	340.5	219.2	190.5	226.5	197.4	243.5	186.6	338.6	187	323.2	212.3	211.2	331	267.9
13459-30	CI167	Q9NXH8	TOR4A	754.3	805.5	1607.6	719.5	1011	823.5	687.6	976.7	697.2	700.5	1322.5	647.4	721.1	784	548.9	1525.9	650.9	653	804.7	718	619.4	661.3	879.8	685.6	734.3	888.2	1105.6	837.1	625.4	692.1	662.8	612.4	636.8	1115.6	594.4	985.6	660.2	671.2	899.2	788.5
13460-4	CHAD	O15335	CHAD	9584.7	12506.9	7163.3	14609.5	4988.6	8839	8051.4	6805.6	6371.9	9328	8452.6	7818	19869.3	13019.9	8710.7	6667.3	5204.6	11685.8	9706	11136.4	10259	6597.4	14062.3	14194.7	12077.3	7135.1	14671.1	8730	14645.1	5590.1	9230	7715.3	9758.6	7279.8	8797.6	9347.1	7732.2	17177.6	6877.3	9559.7
13463-1	PXDN	Q92626	PXDN	1571.6	1267.8	2683.2	1600.9	1851.8	1501.6	2080.8	1576.4	1459.3	1228.1	1619.1	1338.8	1328.2	1844.7	1153.1	2348.3	1188.4	1019.6	1665.3	1195.8	1642.1	1660.7	1721.5	2717.7	1481.4	4231.9	2283.9	1810.5	1646.7	1816.5	1131.1	1109.7	2559	2958.9	1668.5	2381.1	2252.7	2097.6	1925.7	1665.5
13464-8	NRAC	Q8N912	NRAC	2019.8	1706.8	3205.6	2187.3	1841.3	1928.8	1911.4	2155.8	1773.6	1512.1	12134	1314.9	1617	1868.1	1520	5148.8	1494.6	1482.8	1792.7	1110.8	1485.2	1505	1954.6	1700.6	1513	2174.9	2430	2117.9	1392	1718.7	1575.7	1475.1	1449.2	1954	1158.4	1971.6	1706.4	1537.2	1724.1	1865.3
13465-5	CCP1	P53805	RCAN1	3776.7	4399.1	9530.3	3591.5	1753.5	4583	1183	3464.5	2879.8	2536.3	18738.2	1410.1	1528.8	2771.9	4291.9	40109.2	801.3	1198.6	2962.2	1181.9	1488.3	1218.8	1736.8	2242.4	2196.3	2082.9	14111.3	2293.2	1415.8	4377.2	3470.7	2882.9	1787.7	1484.8	3390.6	1622.5	4927.9	1237	1581.4	3535.9
13468-5	NEUL4	Q96JN8	NEURL4	2761.6	3256.8	6143.5	2974.6	2319.2	3462.8	2626.5	2982.3	2567.3	2119.5	9817.7	1622.2	1806.2	2772.4	2777	18089.7	1674.6	1558.9	3283.5	1350.7	1706.3	1782.8	2696.3	2094.4	2259.8	2660	7140.4	2489.8	1929.4	2775.1	2547.7	2205.9	1856.8	2547.2	1732.6	2617.3	2655.2	2391.5	2342.1	2810.3
13470-43	PTH1R	Q03431	PTH1R	1079.1	2049.5	1873.5	1075.3	1272.5	1117.6	1054.3	1206.8	948.9	954.3	1621.7	737.7	916.7	1002.6	1030.8	2066.3	4763.6	798.4	1074.2	668.1	668.5	824.5	1375.2	1165.2	779.9	1041.1	1198.9	1048.5	890.1	1425	848.2	746	1278.9	1429.1	825.2	1188.7	1040.6	955.1	1076	1033.5
13472-35	HDHD2	Q9H0R4	HDHD2	3871	2329.8	2715.2	2672.2	2282.6	4430.9	2003.5	2381.3	2989.4	2588.7	6345.5	2837.1	2501	2456.6	1656.9	3123.2	3462.8	2867.1	5177.1	1893.6	2020.3	1740.5	1509.3	1265.4	1734.4	3542.2	4601.7	7318.5	2058.7	2572.3	2683.5	2078.5	2797.7	2804.3	2074.7	3494.5	1488.1	2682.4	4029.8	2829.8
13473-55	IP3KA	P23677	ITPKA	931.1	913.2	1689.5	898.2	1022.3	903.5	932	1047.1	861.8	804.3	1657.5	657.9	791.5	913	663.6	2250.8	749.7	754.9	1154	560.8	614.8	681.7	1062.6	749.4	774.1	1182.8	1176.3	936.9	758.3	814.5	819.4	688.6	727.4	1159.2	662.3	993.6	846	808.8	1062	929.6
13474-40	GSTK1	Q9Y2Q3	GSTK1	2951.1	2900.9	3678.1	3597	3956.8	3087.2	2973.2	5210.7	5418.8	7403.6	7345.9	4369.1	4512.8	4615	1688.5	4211.5	5168.7	6776.2	8674.9	3222.2	3724.5	2805.2	2506	1875.6	3281.5	5585.6	2183.1	13148.6	3214.2	3161.3	2975.2	1922.9	3823.3	4351.4	1753.9	8211.8	1880.7	3943.5	7476.2	3060.3
13475-10	UB2D4	Q9Y2X8	UBE2D4	11087.9	9463.6	13889.9	11704.2	9714.2	13384.8	7321	11270.1	12242.1	12236.9	19009.3	11646.1	8222.8	9786.8	7232.2	19054.8	12307.4	10456.9	18980.4	8053.9	8050.7	6688.1	6258.5	5770.7	7711.7	12635.1	16458.4	19170.1	9124.3	10161.7	10515.9	7289.4	10451	11021.8	9488.1	15888.4	5845.5	9733	14526.6	10185.2
13476-16	KIN17	O60870	KIN	351.5	388.2	788.1	334	380.1	348.4	289.6	429.1	308.9	288.6	496	286.1	355.2	325	260	563.6	268.3	351	357.8	286.3	317.5	313.2	342.2	288.3	353.4	352.3	504.8	328.9	249.9	315.3	310.2	331.1	269.2	2109.5	279.9	409.4	307.4	305.3	372.6	343.2
13477-65	LT4R1	Q15722	LTB4R	1118.4	1229.8	1396.1	1394.8	911.6	1022	719.6	1057.5	1079.1	1052.9	2727.6	936.7	1157.5	1266.5	1010.2	4397.2	1514.1	1273	1300	675.3	729.6	885	687.6	550.7	668.3	1398.8	2113.3	2566	792.9	975.8	15817.1	1213.3	2265.9	1277	651.1	1060.4	1080.1	755.1	1052.8	769
13479-8	F1712	A8MVW0	FAM171A2	1610.2	1487.7	2099.3	1460.1	1598.3	1546.8	1241.8	1248.7	1203.1	1131.8	3091.3	825.1	1108.7	1735.6	1152.1	4661	986.9	941.9	1368.2	845.4	1223.7	1141.2	1445.2	1112.3	1165.5	1299.6	2135.5	1353.4	1161.2	1192	1137	1135.4	1105.1	1357.2	1063.8	1416.1	1137	1199.3	1390.2	1335
13481-24	TCEA2	Q15560	TCEA2	1435.1	1363.4	2645.1	1420	1382.7	1542.2	1683.2	1990.4	1397.1	1190.6	2778.1	968.2	1160	1393.8	1029.5	4335.8	1116.3	935.3	1412.2	790.9	921.4	1062.4	1548.8	1116.3	1142.9	1424.6	2004.1	1462.4	1104.5	1255.7	1356.3	1001.5	1058.4	1501.3	1002.4	1561.1	1347.2	1150.4	1491.1	1427.7
13482-14	CNOT1	A5YKK6	CNOT1	1892.7	1821.9	3840.9	2164.8	1719.2	2050.8	2017.5	2061.5	1817.7	1950.6	5829.1	1613.1	1592.5	1994.2	1653.5	7413.3	2002.8	2056.3	2561	1031.2	1362.9	1876.5	1656.6	1354	1396.2	2609.7	3034.4	3515.4	1510.4	1730.3	2078.9	1307.1	1615.9	2008.6	1255	2012.6	1566.5	1595.8	2071.9	1628.4
13484-69	CO1A1	P02452	COL1A1	257.4	301.3	542.6	227.9	345.1	321.7	240.8	338.8	255.8	213.6	363.2	206.8	236.9	249.9	200.2	450.8	202.3	215.6	243.8	186.1	204.3	241.7	290.7	212.4	248.3	253.4	340.7	235.1	210.8	227.2	207.6	206.6	250.5	356.2	225.2	304.4	1042	234.7	299.5	313.2
